area,adress,price,price_per_sqm,monthly_fee,size_in_sqm,date_sold
Vasastan,"Sveavägen 97, 3 tr - Gårdsläge",4550000,104598,2057.0,43,2022-10-04
Södermalm,"Åsögatan 175, 4tr",4450000,94681,2758.0,47,2022-10-04
Södermalm,"Heleneborgsgatan 13B, 4 tr",5400000,96429,2974.0,56,2022-10-04
Södermalm,Högbergsgatan 24,3430000,85750,2478.0,40,2022-10-04
Södermalm,Allhelgonagatan 7,4700000,81034,2279.0,58,2022-10-04
Södermalm,Katarina Bangata 61,4050000,109459,2332.0,37,2022-10-04
Vasastan,Rödabergsgatan 9B,3950000,96341,2560.0,41,2022-10-04
Södermalm,"Repslagargatan 23, vån 4",5250000,82031,2544.0,64,2022-10-04
Vasastan,"Torsgatan 41, 4 tr",3750000,96154,1507.0,39,2022-10-04
Fredhäll,"Rålambsvägen 48, 3tr, ACCEPTERAT PRIS",3050000,79221,2135.0,38,2022-10-03
Årsta,Rämensvägen 26,2725000,61236,3213.0,44,2022-10-03
Östermalm,Stureparken 11,6400000,123077,1600.0,52,2022-10-03
Vasastan,"Roslagsgatan 45, 4 tr",3820000,115758,1874.0,33,2022-10-03
Södermalm,"Bondegatan 79, mot gård!",3650000,86905,2195.0,42,2022-10-03
Vasastan,"Vulcanusgatan 1, 2tr",4150000,101220,2026.0,41,2022-10-03
Vasastan,Vidargatan 4,3800000,135714,1043.0,28,2022-10-03
Södermalm,Repslagargatan 16,3800000,84444,3361.0,45,2022-10-02
Östermalm,Lill-Jans Plan 3A,7200000,109091,2768.0,66,2022-10-02
Fredhäll,"Stagneliusvägen 42, 4 tr av 4",4550000,85849,2728.0,53,2022-10-02
Södermalm,"Folkungagatan 63 , 3,5 tr, mot gård!",5750000,112745,2618.0,51,2022-10-02
Vasastan,"Torsgatan 39, vån 5 Accepterat Pris!",5950000,99167,1829.0,60,2022-10-02
Östermalm,Styrmansgatan 14B,8500000,154545,2180.0,55,2022-10-01
Vasastan,Roslagsgatan 23 B,6042000,100700,2299.0,60,2022-10-01
Södermalm,"Bondegatan 50, 4 tr",3800000,88372,1777.0,43,2022-10-01
Årsta,Sandfjärdsgatan 13,2700000,46957,3327.0,57,2022-09-30
Fredhäll,Stagneliusvägen 26,3500000,72165,3227.0,48,2022-09-30
Vasastan,"Hagagatan 18A ö.g, Accepterat Pris!",3400000,100000,1443.0,34,2022-09-30
Vasastan,"Falugatan 14, 2tr",4300000,91489,2752.0,47,2022-09-30
Södermalm,Ringvägen 135,3440000,90526,1314.0,38,2022-09-30
Fredhäll,"Stagneliusvägen 43, 2 tr",4550000,78448,1408.0,58,2022-09-30
Södermalm,Åsögatan 167,6550000,107377,3075.0,61,2022-09-30
Vasastan,Ingemarsgatan 8,4600000,104545,1215.0,44,2022-09-30
Vasastan,Norrbackagatan 44,7000000,106061,3282.0,66,2022-09-30
Årsta,"Skagersvägen 11, 2 tr",2680000,60909,3094.0,44,2022-09-30
Östermalm,Brahegatan 52,5450000,104808,2670.0,52,2022-09-30
Vasastan,Vanadisvägen 7A,3700000,92500,1745.0,40,2022-09-30
Årsta,Dellensvägen 11,2650000,50000,3829.0,53,2022-09-30
Östermalm,"Karlavägen 53, 5 tr - Inkl garageplats!",6200000,140909,2215.0,44,2022-09-30
Vasastan,Rödabergsbrinken 12,3500000,116667,1779.0,30,2022-09-30
Södermalm,"Blekingegatan 38, 4 tr",4950000,81148,3034.0,61,2022-09-30
Årsta,Dellensvägen 13,2940000,50690,4036.0,58,2022-09-29
Vasastan,"Karlbergsvägen 54 0,5 TR",4000000,100000,2272.0,40,2022-09-29
Södermalm,"Möregatan 10, 3 tr",3450000,101471,1926.0,34,2022-09-29
Vasastan,Hälsingegatan 14C,5450000,99091,1644.0,55,2022-09-29
Södermalm,"Mariatorget 8A, högst upp!",7650000,115909,1841.0,66,2022-09-29
Södermalm,Brännkyrkagatan 54B,6800000,104615,3135.0,65,2022-09-29
Vasastan,"Hälsingegatan 3A, ÖG",5250000,105000,1630.0,50,2022-09-29
Årsta,Siljansvägen 7,2870000,64494,3494.0,44,2022-09-29
Årsta,Årstavägen 127A,2070000,84490,1988.0,24,2022-09-29
Vasastan,Sveavägen 99 - Gårdsläge,3875000,93373,1897.0,41,2022-09-29
Årsta,"Sandfjärdsgatan 128, Accepterat pris",2800000,47458,4001.0,59,2022-09-28
Södermalm,Eriksdalsgatan 17,5250000,99057,3034.0,53,2022-09-28
Vasastan,"Norrbackagatan 70B, 3 tr",5900000,89394,3285.0,66,2022-09-28
Södermalm,"Tjustgatan 3, 6 tr",4120000,95814,2688.0,43,2022-09-28
Södermalm,Björngårdsgatan 16 B,7100000,110938,3061.0,64,2022-09-28
Vasastan,"Vikingagatan 18 A, 2 tr",5565000,105000,945.0,53,2022-09-28
Östermalm,Storgatan 36,6400000,72727,3497.0,88,2022-09-28
Södermalm,"Grindsgatan 37, ACCEPTERAT PRIS",5250000,86066,2829.0,61,2022-09-28
Södermalm,Marmorgatan 2,4750000,69343,3209.0,68,2022-09-28
Södermalm,"Metargatan 3, 2tr",4200000,105000,784.0,40,2022-09-28
Södermalm,Maria Prästgårdsgata 4,4225000,103049,2338.0,41,2022-09-28
Vasastan,"Valentin Sabbats Gata 1, 6 tr",4770000,109655,2328.0,43,2022-09-28
Södermalm,"Ölandsgatan 46, 3 tr",3750000,89286,2799.0,42,2022-09-28
Vasastan,"David Bagares gata 22, 1tr",4500000,115385,1425.0,39,2022-09-27
Östermalm,Lill-Jans plan 1B,4125000,108553,1605.0,38,2022-09-27
Södermalm,Tjustgatan 2,3250000,83333,3401.0,39,2022-09-27
Årsta,Hjälmarsvägen 3,2800000,60870,2608.0,46,2022-09-27
Södermalm,"Katarina Bangata 61, 5 tr",3100000,93939,1946.0,33,2022-09-27
Vasastan,Vulcanusgatan 3,3600000,90000,2363.0,40,2022-09-27
Vasastan,"Hälsingegatan 15, 2tr",6100000,108929,2408.0,56,2022-09-27
Årsta,Storsjövägen 46,2500000,56818,2796.0,44,2022-09-27
Södermalm,Ljusterögatan 3,6050000,87681,4103.0,69,2022-09-27
Södermalm,"Ringvägen 127A, 2 tr",5700000,93443,2177.0,61,2022-09-26
Östermalm,Gyllenstiernsgatan 7,6100000,89051,2873.0,68,2022-09-26
Vasastan,"Gästrikegatan 18A, 2tr",6500000,118182,1939.0,55,2022-09-26
Södermalm,"Ringvägen 139 B, 5 / 5 tr",4900000,100000,3358.0,49,2022-09-26
Årsta,Eklångsvägen 33,2720000,61818,2569.0,44,2022-09-26
Vasastan,Torsplan 8,6850000,120175,3593.0,57,2022-09-26
Vasastan,"Falugatan 14, 1,5tr",3950000,109722,2338.0,36,2022-09-25
Vasastan,"Gävlegatan 4, 1tr",7000000,100000,2843.0,70,2022-09-25
Vasastan,"Norra Stationsgatan 53, 5tr - Accepterat pris!",3030000,84167,1836.0,36,2022-09-25
Vasastan,"Karlbergsvägen 48A, 3tr över gård",5495000,114479,2331.0,48,2022-09-25
Vasastan,Gävlegatan 7,4400000,102326,1705.0,43,2022-09-25
Vasastan,Torsgatan 41,4050000,103846,1507.0,39,2022-09-24
Södermalm,Renstiernas Gata 30,3350000,79762,2206.0,42,2022-09-24
Södermalm,"Hornsgatan 94, 1 tr",4100000,78846,2787.0,52,2022-09-24
Södermalm,Tideliusgatan 11 4tr.,5500000,87302,1721.0,63,2022-09-24
Årsta,Sköntorpsvägen 53,2600000,54968,2920.0,47,2022-09-23
Fredhäll,Palmbladsvägen 2,3400000,72340,2960.0,47,2022-09-23
Årsta,Rämensvägen 43,2800000,62222,3360.0,45,2022-09-23
Vasastan,Vikingagatan 15,5300000,101923,2791.0,52,2022-09-23
Vasastan,Dalagatan 76A,6600000,115789,3626.0,57,2022-09-23
Södermalm,Bjurholmsplan 23,4350000,94565,3309.0,46,2022-09-23
Östermalm,"Skeppargatan 26, 5 tr -  inkl garageplats!",5800000,141463,309.0,41,2022-09-23
Södermalm,"Slipgatan 9, 7 tr",4900000,115294,2561.0,42,2022-09-23
Vasastan,Sonja Kovalevskys Gata 11,6300000,100000,3150.0,63,2022-09-23
Vasastan,Roslagsgatan 39A,4100000,109333,1561.0,37,2022-09-22
Årsta,"Borensvägen 40, 3tr",2600000,65000,2957.0,40,2022-09-22
Vasastan,Roslagsgatan 27,5400000,112500,2040.0,48,2022-09-22
Vasastan,Vanadisvägen 7,5625000,93750,2720.0,60,2022-09-22
Södermalm,"Hornsgatan 154, 1 tr",5000000,94340,2462.0,53,2022-09-22
Årsta,Bråviksvägen 16,3000000,55556,3785.0,54,2022-09-22
Södermalm,"Magnus Ladulåsgatan 29, 3 tr",4150000,72807,2630.0,57,2022-09-22
Vasastan,Falugatan 18,4210000,110789,2253.0,38,2022-09-21
Vasastan,Västmannagatan 71A,6500000,114035,2032.0,57,2022-09-21
Södermalm,"Tjärhovsgatan 50, 4tr",4720000,112381,1431.0,42,2022-09-21
Södermalm,Ringvägen 104 3 tr,4410000,80182,1622.0,55,2022-09-21
Södermalm,"Västgötagatan 22, 4 tr",3830000,98205,2146.0,39,2022-09-21
Vasastan,"Torsgatan 61, 4tr",6350000,105833,3025.0,60,2022-09-21
Södermalm,Brännkyrkagatan 55,4975000,85776,3391.0,58,2022-09-21
Östermalm,Kaptensgatan 15,6650000,133000,2325.0,50,2022-09-21
Östermalm,Skeppargatan 70A,4850000,127632,1885.0,38,2022-09-21
Södermalm,"Ljusterögatan 5, 2 tr.",4100000,82000,3195.0,50,2022-09-21
Östermalm,"Uggelviksgatan 13, 2 tr",6900000,143750,1836.0,48,2022-09-21
Östermalm,Jungfrugatan 43B,7300000,125862,2284.0,58,2022-09-21
Vasastan,"Surbrunnsgatan 4, 3tr",6565000,117232,2428.0,56,2022-09-21
Östermalm,Uggelviksgatan 13,10050000,124074,2958.0,81,2022-09-21
Årsta,"Siljansvägen 42, vån 3 / 3",3050000,68539,3217.0,44,2022-09-21
Årsta,Sköntorpsvägen 112,2960000,56923,2952.0,52,2022-09-20
Vasastan,"Vikingagatan 41, 2tr",4400000,89796,2499.0,49,2022-09-20
Årsta,"Sandfjärdsgatan 128, vån. 3 / 3",2900000,49153,4042.0,59,2022-09-20
Östermalm,Wittstocksgatan 3C,9650000,158197,813.0,61,2022-09-20
Vasastan,"Döbelnsgatan 52, 4tr",4690000,90192,2123.0,52,2022-09-20
Södermalm,"Erstagatan 26, 5 Tr",5300000,120455,2261.0,44,2022-09-20
Fredhäll,"Adlerbethsgatan 17, 4tr",4475000,97283,2630.0,46,2022-09-19
Vasastan,Torsgatan 27,6000000,100000,2923.0,60,2022-09-19
Vasastan,Völundsgatan 3,3950000,98750,2329.0,40,2022-09-19
Vasastan,Torsgatan 69,6400000,110345,2717.0,58,2022-09-19
Vasastan,Tomtebogatan 27,5210000,110851,2217.0,47,2022-09-19
Årsta,Malgomajvägen 9,2800000,49123,3603.0,57,2022-09-19
Södermalm,"Metargatan 3, 3tr",4315000,110641,784.0,39,2022-09-19
Årsta,"Sköntorpsvägen 69, 2tr",2950000,69087,2550.0,42,2022-09-18
Södermalm,"Bondegatan 74 C, 1 ½ tr",5670000,101250,3261.0,56,2022-09-18
Östermalm,Birger Jarlsgatan 104F,4150000,98810,2878.0,42,2022-09-17
Vasastan,"Tomtebogatan 26, 3tr",6525000,118852,3061.0,54,2022-09-16
Östermalm,Erik Dahlbergsallén 11,5700000,121277,1530.0,47,2022-09-16
Södermalm,Ringvägen 162,4400000,95652,2400.0,46,2022-09-16
Södermalm,Heleneborgsgatan 5B,6500000,97015,3776.0,67,2022-09-16
Södermalm,Tideliusgatan 67,2700000,87097,1244.0,31,2022-09-16
Södermalm,Bergsunds Strand 34,3700000,90244,1997.0,41,2022-09-16
Södermalm,"Slipgatan 11, 1 tr",3400000,91892,2566.0,37,2022-09-16
Årsta,"Svärdlångsvägen 51, 2 tr",2360000,61299,3159.0,38,2022-09-16
Årsta,Sköntorpsvägen 71,2750000,64403,2472.0,42,2022-09-16
Södermalm,Ölandsgatan 48,4000000,95238,1700.0,42,2022-09-16
Vasastan,"Upplandsgatan 77A, 3tr",6950000,128704,2768.0,54,2022-09-15
Södermalm,Södermannagatan 76,3150000,76829,2207.0,41,2022-09-15
Årsta,Rämensvägen 29B,3700000,71154,3167.0,52,2022-09-15
Södermalm,"Maria Prästgårdsgata 8, 1tr",3235000,101094,2032.0,32,2022-09-15
Vasastan,"Vegagatan 15, BV",5500000,110000,1106.0,50,2022-09-15
Södermalm,"Långholmsgatan 11A, 3 tr",5075000,92273,2748.0,55,2022-09-15
Södermalm,Assessorsgatan 18E,5360000,81212,2425.0,66,2022-09-15
Östermalm,"Lill-jans plan 1B, 3 tr Ö.G",6750000,140625,1902.0,48,2022-09-15
Fredhäll,"Frödingsvägen 6, 2 tr",3400000,79070,1851.0,43,2022-09-15
Östermalm,Majorsgatan 6 - FAST PRIS,6750000,120536,389.0,56,2022-09-15
Södermalm,Swedenborgsgatan 6A,7700000,116667,1773.0,66,2022-09-15
Södermalm,"Rosenlundsgatan 28A, 4tr",4075000,110135,1074.0,37,2022-09-15
Vasastan,Gävlegatan 26,5450000,99091,2750.0,55,2022-09-14
Årsta,Siljansvägen 24,2810000,63146,3127.0,44,2022-09-14
Fredhäll,"Frödingsvägen 2, 1,5 tr",3850000,75490,2423.0,51,2022-09-14
Vasastan,"Teknologgatan 8C, 2tr",7450000,130702,3830.0,572,2022-09-14
Södermalm,Hornsgatan 29F,5700000,116327,2213.0,49,2022-09-14
Vasastan,"Idungatan 7C, 3 tr",4175000,112838,1462.0,37,2022-09-14
Södermalm,"Maria Bangata 2B, 4tr. ACCEPTERAT PRIS",3775000,104861,1950.0,36,2022-09-14
Södermalm,Folkungagatan 97,5800000,112621,2009.0,51,2022-09-14
Östermalm,Styrmansgatan 23A,6750000,135000,2724.0,50,2022-09-14
Vasastan,Vanadisvägen 28,5750000,97458,2428.0,59,2022-09-14
Vasastan,Frejgatan 10,6495000,110085,1213.0,59,2022-09-14
Vasastan,Torsgatan 42D,4500000,112500,2179.0,40,2022-09-14
Södermalm,"Rutger Fuchsgatan 4A, 3tr",3550000,98611,1758.0,36,2022-09-14
Fredhäll,"Frödingsvägen 2, 2 tr",3825000,88953,2043.0,43,2022-09-14
Vasastan,"Tegnérgatan 55D, 3tr",5325000,104412,3149.0,51,2022-09-14
Vasastan,Atlasgatan 3,7650000,121429,2875.0,63,2022-09-14
Fredhäll,"Fredhällsgatan 7, 2 tr",4210000,91522,2239.0,46,2022-09-13
Södermalm,Tavastgatan 43,4950000,103125,2354.0,48,2022-09-13
Fredhäll,Runiusgatan 7,3300000,86842,1633.0,38,2022-09-13
Vasastan,Roslagsgatan 36 a,4768000,113524,1752.0,42,2022-09-13
Vasastan,Kungstensgatan 46,4500000,95745,1201.0,47,2022-09-13
Östermalm,Nybrogatan 83,5100000,115909,1950.0,44,2022-09-13
Vasastan,"Karlbergsvägen 71B, 3 tr",4100000,113889,1794.0,36,2022-09-13
Södermalm,Katarina Bangata 59C,3900000,108333,2294.0,36,2022-09-13
Södermalm,Sankt Paulsgatan 28 a,6100000,107018,3272.0,57,2022-09-13
Vasastan,Birger Jarlsgatan 79,9150000,142969,1402.0,64,2022-09-13
Östermalm,Valhallavägen 22B,5225000,93304,2973.0,56,2022-09-13
Vasastan,"Hälsingegatan 8A, 5tr.",4500000,145161,1135.0,31,2022-09-12
Södermalm,"Lundagatan 40A, 1 tr",4645000,91980,2392.0,50,2022-09-11
Södermalm,"Bergsunds strand 5, 3 tr",3700000,105714,2364.0,35,2022-09-11
Östermalm,Floragatan 7,5260000,146111,1237.0,36,2022-09-10
Södermalm,Grindsgatan 29,3680000,80000,2285.0,46,2022-09-10
Vasastan,"Vulcanusgatan 13, 1tr",4150000,109211,1986.0,38,2022-09-09
Vasastan,"Falugatan 16, 2 tr",5400000,110204,2906.0,49,2022-09-09
Vasastan,"Frejgatan 50, 3 tr",5400000,114894,2553.0,47,2022-09-09
Östermalm,Artillerigatan 26B,5000000,119048,1911.0,42,2022-09-09
Årsta,Siljansvägen 33,2900000,64444,3242.0,45,2022-09-09
Östermalm,Sibyllegatan 50A,7300000,115873,2502.0,63,2022-09-09
Vasastan,Rörstrandsgatan 38A,4350000,114474,1904.0,38,2022-09-09
Östermalm,Storgatan 30A,6200000,112727,1708.0,55,2022-09-09
Södermalm,"Fatburstrappan 18, 11 tr",5300000,92982,4019.0,57,2022-09-09
Vasastan,Karlbergsvägen 32B,6700000,100000,2461.0,67,2022-09-09
Vasastan,"Sveavägen 140, 4 tr",7900000,105333,1875.0,75,2022-09-09
Årsta,Sandfjärdsgatan 134,2900000,48739,3980.0,59,2022-09-08
Fredhäll,Atterbomsvägen 28,3850000,85556,2639.0,45,2022-09-08
Södermalm,"Hornsgatan 70, vind mot gård",6650000,120909,3218.0,55,2022-09-08
Södermalm,"Bergsunds Strand 36, 3tr",4250000,98837,2075.0,43,2022-09-08
Vasastan,Norrtullsgatan 63,4800000,85714,2800.0,56,2022-09-08
Årsta,Slätbaksvägen 6,3010000,67640,2426.0,44,2022-09-08
Östermalm,Östermalmsgatan 57,7360000,120656,2738.0,61,2022-09-08
Östermalm,Grevgatan 47,6200000,134783,1331.0,46,2022-09-08
Södermalm,"Östgötagatan 66, 5tr",3145000,116481,743.0,27,2022-09-08
Östermalm,"Valhallavägen 14A, 2 tr - Accepterat pris!",4100000,95349,1633.0,43,2022-09-08
Fredhäll,"Ernst Ahlgrens väg 10, 3tr",4000000,97561,2173.0,41,2022-09-08
Årsta,Långhalsvägen 20,3600000,74227,2896.0,48,2022-09-08
Östermalm,Linnégatan 94,4550000,113750,2291.0,40,2022-09-08
Årsta,"Tämnarvägen 28, ACCEPTERAT PRIS",3100000,56364,3100.0,55,2022-09-07
Östermalm,Styrmansgatan 5A,8750000,143443,2723.0,61,2022-09-07
Södermalm,"Anders Reimers Väg 11, 2 tr",5300000,106000,3540.0,50,2022-09-07
Södermalm,"Svartensgatan 8 B, 1 tr, ö.g.",5930000,98833,2049.0,60,2022-09-07
Östermalm,"Birger Jarlsgatan 78, 3tr",5600000,128736,1353.0,43,2022-09-07
Östermalm,Nybrogatan 38A,7850000,130833,2421.0,60,2022-09-07
Vasastan,Drottning Kristinas väg 11,3950000,80612,1722.0,49,2022-09-07
Årsta,"Borensvägen 13, vån 3 / 3",3035000,65978,2464.0,46,2022-09-07
Östermalm,Skeppargatan 21A,5700000,121277,0.0,47,2022-09-07
Årsta,Sköntorpsvägen 63,2875000,60782,2785.0,47,2022-09-07
Södermalm,Krukmakargatan 71,5200000,77612,2723.0,67,2022-09-07
Södermalm,Lundagatan 50,3700000,105714,1817.0,35,2022-09-07
Årsta,Skagersvägen 16,2650000,59551,3119.0,44,2022-09-07
Vasastan,"Dalagatan 86H, 1tr",5410000,110408,2724.0,49,2022-09-06
Vasastan,"Karlbergsvägen 54, 1,5tr",4950000,110000,2456.0,45,2022-09-06
Vasastan,"Dalagatan 23 A, 3tr över gård",5700000,126667,1784.0,45,2022-09-06
Södermalm,"Södermannagatan 8, 3tr",6200000,112727,2186.0,55,2022-09-06
Södermalm,Krukmakarbacken 4B,4995000,80565,2258.0,62,2022-09-06
Vasastan,"Roslagsgatan 42C, 3tr",6700000,109836,3320.0,61,2022-09-06
Södermalm,"Timmermansgatan 37, 3tr",3200000,91429,1997.0,35,2022-09-06
Vasastan,Markvardsgatan 11,6260000,102623,1600.0,61,2022-09-06
Årsta,Bolmensvägen 13,2815000,61196,3522.0,46,2022-09-06
Fredhäll,"Stagneliusvägen 28, 3 tr",3180000,90857,2468.0,35,2022-09-06
Vasastan,"Tre Liljor 2B, 3tr",5050000,103061,2783.0,49,2022-09-06
Östermalm,Grevgatan 19,5350000,140789,1646.0,38,2022-09-06
Vasastan,"Sigtunagatan 13A, 1tr",3700000,123333,983.0,30,2022-09-06
Vasastan,"Vanadisvägen 26 B, 2 tr",5475000,116489,2080.0,47,2022-09-06
Vasastan,Birkagatan 19,5150000,128750,1484.0,40,2022-09-06
Vasastan,Vanadisvägen 11,5800000,87879,2270.0,66,2022-09-06
Årsta,"Sköntorpsvägen 1, 4tr",3950000,66949,2466.0,59,2022-09-05
Vasastan,"Karlbergsvägen 72B, 2 tr.",5650000,110784,2103.0,51,2022-09-05
Vasastan,Hälsingegatan 7 A,4400000,137500,1240.0,32,2022-09-05
Södermalm,"Grindsgatan 37, 5tr",3970000,96829,1902.0,41,2022-09-05
Vasastan,"Norrbackagatan 33, våning 3",5000000,75758,3521.0,66,2022-09-04
Vasastan,"Torsgatan 43, 6 tr",4200000,110526,1374.0,38,2022-09-03
Södermalm,"Svartensgatan 26, 2tr",4375000,128676,1974.0,34,2022-09-03
Årsta,Marviksvägen 7,4500000,69767,3849.0,64,2022-09-02
Vasastan,Tegnérgatan 16,4750000,107955,773.0,44,2022-09-02
Södermalm,Bondegatan 1B,4400000,133333,1745.0,33,2022-09-02
Årsta,"Bränningevägen 3, 3 tr",3000000,55556,3122.0,54,2022-09-02
Fredhäll,Stagneliusvägen 43,4700000,81034,1408.0,58,2022-09-02
Årsta,"Sköntorpsvägen 111, 2tr",2800000,68293,3144.0,41,2022-09-01
Årsta,Skagersvägen 13,2500000,58140,2847.0,43,2022-09-01
Fredhäll,Rålambsvägen 69,3175000,85811,2264.0,37,2022-09-01
Vasastan,"Robert Almströmsgatan 4, 5tr",6150000,116038,2829.0,53,2022-09-01
Vasastan,Tomtebogatan 3,5200000,136842,1052.0,38,2022-09-01
Södermalm,"Timotejgatan 6, vån 3",2845000,80141,2086.0,35,2022-09-01
Årsta,"Åmänningevägen 18, 1 tr",3100000,54386,3670.0,57,2022-09-01
Vasastan,"Hälsingegatan 3, 2 tr ög",7000000,127273,1882.0,55,2022-09-01
Södermalm,"Heleneborgsgatan 7A, 2tr, Accepterat pris!",6210000,92687,3009.0,67,2022-09-01
Årsta,"Gullmarsvägen 29, 1 tr",3200000,57143,3827.0,56,2022-09-01
Vasastan,Sveavägen 133,3700000,97368,1868.0,38,2022-09-01
Östermalm,Odengatan 12A,5500000,119565,990.0,46,2022-09-01
Vasastan,Teknologgatan 9D,5400000,116129,2042.0,46,2022-09-01
Södermalm,"Doktor Abelins gata 2, 4 tr",5000000,106383,2685.0,47,2022-09-01
Årsta,Ottsjövägen 25,3195000,53250,3981.0,60,2022-08-31
Östermalm,Grevgatan 49,4900000,122500,2120.0,40,2022-08-31
Vasastan,Birkagatan 32,7400000,115625,1313.0,64,2022-08-31
Vasastan,Rörstrandsgatan 14A,6225000,115278,1757.0,54,2022-08-31
Södermalm,"Högbergsgatan 22, 2tr",4495000,95638,2813.0,47,2022-08-31
Östermalm,"Körsbärsvägen 10, 3tr",3650000,104286,1608.0,35,2022-08-31
Södermalm,"Hornsgatan 149, 7 tr",4750000,105556,2580.0,45,2022-08-31
Södermalm,"Bergsundsgatan 19, 4 tr",4240000,94222,2527.0,45,2022-08-31
Södermalm,"Ploggatan 2, 3tr",3800000,100000,2295.0,38,2022-08-31
Östermalm,Roslagstullsbacken 18,4450000,69969,3418.0,63,2022-08-30
Vasastan,Gävlegatan 32,4450000,80909,2750.0,55,2022-08-30
Vasastan,"Gävlegatan 26, vån 10",4825000,109659,2200.0,44,2022-08-30
Årsta,Siljansvägen 67,3150000,55752,3718.0,56,2022-08-30
Östermalm,Nybrogatan 19B,7890000,140893,2200.0,56,2022-08-30
Vasastan,"Tomtebogatan 28 A, 4tr",7050000,117500,1712.0,60,2022-08-29
Fredhäll,Frödingsvägen 6,3495000,72813,2152.0,48,2022-08-29
Vasastan,Vegagatan 6A,5200000,108333,2249.0,48,2022-08-29
Östermalm,"Karlavägen 61A, 4 tr",6600000,143478,1224.0,46,2022-08-29
Södermalm,"Folkungagatan 130, 5 tr",6600000,106452,3067.0,62,2022-08-29
Södermalm,"Lundagatan 39A, 2 tr",3650000,107353,2484.0,34,2022-08-29
Vasastan,Tre Liljor 2B,4800000,117073,2186.0,41,2022-08-28
Vasastan,Hälsingegatan 61,6600000,104762,3150.0,63,2022-08-27
Östermalm,Nybrogatan 70A,4650000,136765,1557.0,34,2022-08-27
Fredhäll,Rålambsvägen 52,3120000,76098,2173.0,41,2022-08-26
Årsta,Siljansvägen 51 - ACCEPTERAT PRIS,2850000,53271,3556.0,53,2022-08-26
Södermalm,Åsögatan 174 *Accept pris*,4030000,87609,2394.0,46,2022-08-26
Östermalm,Nybrogatan 62,5400000,131707,1072.0,41,2022-08-26
Vasastan,"Birkagatan 10, 3tr",6675000,104297,1472.0,64,2022-08-26
Södermalm,Tideliusgatan 33,3850000,89535,1158.0,43,2022-08-26
Årsta,Tämnarvägen 20,2915000,63370,2657.0,46,2022-08-26
Årsta,Slätbaksvägen 25,2875000,67647,2452.0,42,2022-08-26
Södermalm,Allhelgonagatan 7,4325000,86500,2011.0,50,2022-08-26
Östermalm,"Artillerigatan 33, 5 tr",5100000,134211,1671.0,38,2022-08-26
Årsta,Årstavägen 14,2285000,51932,3205.0,44,2022-08-25
Årsta,"Gullmarsvägen 27, ACCEPTERAT PRIS",3750000,62500,3517.0,60,2022-08-25
Vasastan,Vikingagatan 27,5470000,111633,2183.0,49,2022-08-25
Årsta,Årstavägen 101,3370000,62407,3591.0,54,2022-08-25
Östermalm,"Karlaplan 5B, 2tr, ÖG",6500000,135417,2924.0,48,2022-08-25
Södermalm,"Långholmsgatan 17, 6tr",4550000,74590,3008.0,61,2022-08-25
Södermalm,Tobaksspinnargatan 10,4470000,89400,2648.0,50,2022-08-25
Fredhäll,"Frödingsvägen 5, 2tr",3800000,95000,2173.0,40,2022-08-25
Södermalm,Åsögatan 96,4000000,93023,2181.0,43,2022-08-25
Årsta,"Borensvägen 1, 4 tr",3350000,64423,3809.0,52,2022-08-25
Vasastan,"Tomtebogatan 51, 3tr",7050000,113710,3218.0,62,2022-08-24
Vasastan,Rörstrandsgatan 14,7000000,107692,2137.0,65,2022-08-24
Södermalm,Möregatan 7,3740000,101081,2656.0,37,2022-08-24
Östermalm,Grev Magnigatan 10A,6100000,138636,2142.0,44,2022-08-24
Östermalm,Styrmansgatan 49,5000000,113636,3119.0,44,2022-08-24
Östermalm,"Grev Turegatan 80, BV",7150000,119167,2332.0,60,2022-08-24
Södermalm,Brännerigatan 5,5070000,97500,2913.0,52,2022-08-24
Östermalm,Birger Jarlsgatan 104M,5300000,106000,3612.0,50,2022-08-23
Årsta,Årstavägen 71,3000000,67416,3127.0,44,2022-08-23
Vasastan,"Sveavägen 97, vindsvåning",7900000,121538,2726.0,65,2022-08-23
Södermalm,"Folkskolegatan 5, 2 tr",3550000,107576,2359.0,33,2022-08-23
Södermalm,"Åsögatan 92, 5 tr",3600000,105882,2021.0,34,2022-08-23
Södermalm,"Folkungagatan 63, 2,5 tr mot gård!",6000000,117647,2618.0,51,2022-08-23
Vasastan,"Hälsingehöjden 11, 5tr",8300000,136066,2359.0,61,2022-08-23
Vasastan,Sankt eriksgatan 101,5350000,111458,2008.0,48,2022-08-22
Vasastan,Sveavägen 99 - Gårdsläge,4350000,106098,1928.0,41,2022-08-22
Södermalm,"Högalidsgatan 48A, 3.5 tr",6600000,110000,2872.0,60,2022-08-22
Vasastan,Ingemarsgatan 3A,3650000,98649,1927.0,37,2022-08-21
Årsta,Årstavägen 99,3410000,63148,3591.0,54,2022-08-20
Södermalm,"Folkungagatan 114, 2 tr",3635000,98243,1740.0,37,2022-08-20
Vasastan,"Sonja Kovalevskys gata 3, 3tr",5470000,107255,2550.0,51,2022-08-19
Södermalm,Tideliusgränd 11,4000000,95238,2702.0,42,2022-08-19
Årsta,Bolmensvägen 33,2600000,63415,2998.0,41,2022-08-19
Vasastan,Ynglingagatan 17 - ACCEPTERAT PRIS,4450000,96739,2686.0,46,2022-08-19
